iter	RMSE
0	0.3886812638
1	0.3831733726
2	0.3776516464
3	0.3721822299
4	0.3669594254
5	0.3617711772
6	0.3565508168
7	0.3514937722
8	0.346665064
9	0.3420180727
10	0.3377009058
11	0.3331530881
12	0.3287103482
13	0.3243033203
14	0.3199854708
15	0.3159772347
16	0.3120681636
17	0.3080595961
18	0.3039057578
19	0.2998629733
20	0.2959737166
21	0.2921545796
22	0.2883995803
23	0.2847563529
24	0.2811514057
25	0.2776680136
26	0.2740696239
27	0.2706589829
28	0.2673545839
29	0.264168887
30	0.2609929145
31	0.2577827478
32	0.2547376254
33	0.2519216898
34	0.2490117646
35	0.2461904294
36	0.243408446
37	0.2406631742
38	0.2380289773
39	0.2353489567
40	0.2329692486
41	0.2305401364
42	0.2280363885
43	0.2256752034
44	0.2233254657
45	0.2212290379
46	0.219113891
47	0.2169390002
48	0.2148840141
49	0.2127366113
50	0.2106516705
51	0.2086998211
52	0.206739388
53	0.2046833687
54	0.2028785732
55	0.2010421487
56	0.1991243852
57	0.1971405514
58	0.1954379042
59	0.1936258794
60	0.1918765565
61	0.1900448441
62	0.1884314531
63	0.1866779548
64	0.1852635706
65	0.1836737371
66	0.1822237629
67	0.1807267253
68	0.1793694933
69	0.1780595983
70	0.1766748957
71	0.1752571912
72	0.17373957
73	0.1724755613
74	0.1712079435
75	0.1700196757
76	0.1688632186
77	0.1676056249
78	0.1663661756
79	0.1651411218
80	0.1638717233
81	0.1626886971
82	0.1616490399
83	0.1605829752
84	0.1594757295
85	0.1585979953
86	0.1575589747
87	0.1565470527
88	0.1555914997
89	0.1545919342
90	0.153798933
91	0.1529162945
92	0.1519563226
93	0.1511398282
94	0.1502816346
95	0.149454117
96	0.1485345241
97	0.1476328409
98	0.1468376618
99	0.1461041121
100	0.1453068056
101	0.1444458323
102	0.1436003945
103	0.142917231
104	0.1422654914
105	0.1415589375
106	0.1408208306
107	0.1401165435
108	0.1393998477
109	0.1386824155
110	0.1381429758
111	0.137439763
112	0.1369184396
113	0.1362886269
114	0.1357377764
115	0.1352513131
116	0.1346489139
117	0.1340634877
118	0.1334537093
119	0.1329585565
120	0.1323720038
121	0.1318109582
122	0.131217351
123	0.1307367231
124	0.1302774046
125	0.1297950072
126	0.1293355205
127	0.1288293511
128	0.1283432471
129	0.1279230893
130	0.1274594169
131	0.1270083726
132	0.1267510486
133	0.12631777
134	0.125886269
135	0.125426802
136	0.1250204711
137	0.1246103516
138	0.1242156598
139	0.1238259758
140	0.123513703
141	0.1230740872
142	0.1227723286
143	0.1224267473
144	0.122095751
145	0.1217832372
146	0.1214897486
147	0.1211352601
148	0.1208541071
149	0.1205325998
150	0.1202142595
151	0.1198785167
152	0.1195327539
153	0.119220766
154	0.1188708371
155	0.1185678322
156	0.1182759561
157	0.1179641696
158	0.1177041782
159	0.1174593933
160	0.1171596639
161	0.1169001493
162	0.1166658898
163	0.116398397
164	0.1161318505
165	0.1158349705
166	0.1155980753
167	0.1153854979
168	0.115172736
169	0.1149352273
170	0.1146669127
171	0.114405791
172	0.1142245734
173	0.1140007833
174	0.1137627418
175	0.1135221872
176	0.1132379697
177	0.1129417403
178	0.1127364957
179	0.1124979144
180	0.1123130692
181	0.1121460804
182	0.1119466708
183	0.1117120355
184	0.1115282241
185	0.1113099608
186	0.1111822713
187	0.1109058394
188	0.1107649338
189	0.1106229762
190	0.1104504556
191	0.1103107876
192	0.1101601512
193	0.1100522627
194	0.1098583314
195	0.1097050726
196	0.1094713345
197	0.1092781423
198	0.1091080186
199	0.1089307802
200	0.1087085837
201	0.1085557943
202	0.1084024748
203	0.1082576573
204	0.1081206342
205	0.1079829231
206	0.1078045957
207	0.1076946506
208	0.1075050303
209	0.1073785851
210	0.1072809871
211	0.1071314832
212	0.1070497699
213	0.1069612565
214	0.1068251251
215	0.1066964321
216	0.1066038366
217	0.1065214188
218	0.1063791029
219	0.1062796754
220	0.1061851684
221	0.1060508912
222	0.105913929
223	0.105802472
224	0.1056998173
225	0.1055543413
226	0.1054095046
227	0.1052300371
228	0.1051024742
229	0.1050017169
230	0.1049265039
231	0.1048267371
232	0.1047104563
233	0.1046038992
234	0.1044864988
235	0.1043498688
236	0.1042451954
237	0.1042007321
238	0.1041317154
239	0.1040661331
240	0.1038963957
241	0.1038080321
242	0.1037512382
243	0.1036564634
244	0.103590899
245	0.1034425204
246	0.1033790248
247	0.1032494176
248	0.1031350846
249	0.103114066
250	0.1029642001
251	0.1029019011
252	0.1028199747
253	0.102613267
254	0.1024953177
255	0.1024290987
256	0.1024134913
257	0.1023428119
258	0.1022644475
259	0.1021713375
260	0.1021056263
261	0.1019642758
262	0.1018616826
263	0.1017794965
264	0.1017525809
265	0.1016822915
266	0.101607625
267	0.101563697
268	0.101526788
269	0.1014592072
270	0.1013112311
271	0.1012636268
272	0.1012264795
273	0.1011775584
274	0.1011309283
275	0.1010815087
276	0.1009898161
277	0.1009688541
278	0.1009293403
279	0.1008473191
280	0.1007225535
281	0.1006944509
282	0.1006262497
283	0.1005333082
284	0.1005215039
285	0.1004220298
286	0.1003664148
287	0.1003251047
288	0.1002685674
289	0.1002353523
290	0.1002087028
291	0.1001458637
292	0.1000561427
293	0.09998811233
294	0.09986508949
295	0.09977780017
296	0.0997284851
297	0.09968489029
298	0.09956687977
299	0.09952133997
300	0.09948563578
301	0.09944210238
302	0.09939053961
303	0.09934105421
304	0.09930876402
305	0.09922354541
306	0.09918136418
307	0.09914196883
308	0.09905898429
309	0.09899635749
310	0.09898061577
311	0.09890035789
312	0.09886316308
313	0.09879110812
314	0.09867064213
315	0.09861102555
316	0.09857903002
317	0.09857428851
318	0.09848714846
319	0.0984332274
320	0.09842531183
321	0.09840649549
322	0.09837838782
323	0.09834240151
324	0.09828960097
325	0.09818194101
326	0.09816795769
327	0.09808885139
328	0.09804853223
329	0.09799039254
330	0.09796236551
331	0.09795101464
332	0.0979090005
333	0.09788304857
334	0.0978644135
335	0.09785165314
336	0.09780516258
337	0.09778095337
338	0.09776140425
339	0.09772807599
340	0.0976989597
341	0.09767778551
342	0.09764335466
343	0.09760261352
344	0.09752303747
345	0.09748853708
346	0.09747659494
347	0.09743708015
348	0.09734013179
349	0.09725536355
350	0.09723029339
351	0.09719711157
352	0.0971671826
353	0.09708668152
354	0.09703598757
355	0.09701776957
356	0.09700720597
357	0.09699109652
358	0.09697805286
359	0.09692415339
360	0.09691338862
361	0.09690661089
362	0.09689484421
363	0.09686483683
364	0.09685952436
365	0.09680915753
366	0.09677010146
367	0.0967074521
368	0.096693203
369	0.09665547422
370	0.09659474542
371	0.09657997244
372	0.09650091441
373	0.09643497819
374	0.09642612708
375	0.09639319174
376	0.09638955498
377	0.09637443426
378	0.09634253592
379	0.09614506592
380	0.09607161072
381	0.09600285087
382	0.09596442337
383	0.09580687384
384	0.09578616792
385	0.09575175421
386	0.09572669968
387	0.09570761442
388	0.09566879522
389	0.095654509
390	0.09563912409
391	0.09563281385
392	0.0955426986
393	0.09554106157
394	0.09553063857
395	0.09547679619
396	0.09546996207
397	0.09545236141
398	0.09542491615
399	0.095418413
400	0.09538368019
401	0.09537922118
402	0.09537414937
403	0.09535928625
404	0.09532580719
405	0.09531823129
406	0.09531592413
407	0.09528334009
408	0.09513237592
409	0.09509881698
410	0.09508394898
411	0.09505274763
412	0.09503422581
413	0.09502270465
414	0.09480997851
415	0.0947964663
416	0.09477380893
417	0.094771209
418	0.09475268193
419	0.09470951721
420	0.09461126979
421	0.09459562698
422	0.09458790818
423	0.09453939043
424	0.09449469201
425	0.09448930773
426	0.09447173948
427	0.09446749096
428	0.0944303217
429	0.09441893823
430	0.09440690763
431	0.09440289836
432	0.09435659307
433	0.09434997013
434	0.09434375445
435	0.0941352419
436	0.09413191499
437	0.09411372093
438	0.0940888666
439	0.09408253338
440	0.09402373987
441	0.09380670591
442	0.09377520342
443	0.09376801309
444	0.09376683657
445	0.09376386427
446	0.09374614845
447	0.09373892879
448	0.09371823838
449	0.0936553764
450	0.09364555343
451	0.09364090315
452	0.09363667894
453	0.09362264079
454	0.09361800487
455	0.09359802438
456	0.09355266672
457	0.09355135562
458	0.09353624164
459	0.09351958473
460	0.09336784039
461	0.09336024165
462	0.09335644787
463	0.09333325819
464	0.09332793911
465	0.09332067931
466	0.09331284728
467	0.09329761688
468	0.09328097571
469	0.09321170288
470	0.09318576681
471	0.09318133893
472	0.09310835958
473	0.09310471924
474	0.09310110215
475	0.09308931445
476	0.09308642966
477	0.09305558027
478	0.09289271455
479	0.09287306645
480	0.09286248077
481	0.09282343736
482	0.09267121098
