iter	Passed	Remaining
0	22	178705
1	36	145812
2	51	137423
3	67	135516
4	82	132430
5	97	129631
6	111	127415
7	128	128201
8	143	127569
9	155	124349
10	171	124388
11	186	124399
12	201	123870
13	215	123058
14	227	121084
15	241	120520
16	254	119699
17	269	119653
18	275	115902
19	288	115109
20	302	114840
21	316	114667
22	330	114741
23	344	114431
24	357	114060
25	372	114291
26	385	113955
27	399	113709
28	413	113729
29	428	113754
30	442	113681
31	455	113522
32	469	113253
33	482	113152
34	495	112831
35	510	112873
36	522	112365
37	535	112102
38	548	111863
39	560	111526
40	573	111370
41	586	111095
42	600	111092
43	615	111233
44	630	111383
45	643	111283
46	655	110952
47	669	110938
48	675	109680
49	689	109567
50	702	109505
51	715	109366
52	722	108359
53	737	108452
54	750	108345
55	763	108256
56	777	108408
57	791	108314
58	802	108042
59	816	108104
60	830	108044
61	841	107714
62	854	107632
63	866	107476
64	872	106457
65	884	106338
66	892	105649
67	905	105599
68	920	105776
69	925	104868
70	933	104304
71	946	104176
72	959	104220
73	973	104301
74	980	103590
75	993	103628
76	1000	102922
77	1014	103025
78	1027	103069
79	1042	103160
80	1056	103328
81	1071	103456
82	1084	103447
83	1098	103527
84	1113	103657
85	1122	103268
86	1136	103396
87	1151	103498
88	1168	103849
89	1184	104096
90	1192	103645
91	1209	103982
92	1225	104180
93	1232	103650
94	1246	103752
95	1264	104090
96	1280	104362
97	1296	104503
98	1310	104567
99	1324	104628
100	1337	104621
101	1350	104567
102	1364	104619
103	1375	104415
104	1382	103917
105	1389	103486
106	1400	103295
107	1413	103304
108	1429	103510
109	1442	103459
110	1455	103469
111	1470	103550
112	1482	103481
113	1496	103500
114	1509	103491
115	1513	102872
116	1526	102854
117	1538	102781
118	1552	102800
119	1565	102797
120	1578	102780
121	1592	102818
122	1606	102874
123	1620	102929
124	1634	102943
125	1646	102890
126	1659	102879
127	1673	102940
128	1687	102974
129	1694	102611
130	1709	102690
131	1723	102708
132	1726	102150
133	1733	101786
134	1740	101404
135	1754	101424
136	1768	101523
137	1781	101508
138	1795	101519
139	1802	101217
140	1815	101204
141	1828	101170
142	1841	101167
143	1856	101260
144	1867	101144
145	1871	100689
146	1884	100688
147	1891	100331
148	1902	100242
149	1917	100323
150	1930	100348
151	1943	100324
152	1956	100351
153	1971	100457
154	1984	100455
155	1996	100384
156	2010	100427
157	2023	100423
158	2035	100381
159	2049	100414
160	2063	100459
161	2075	100436
162	2089	100445
163	2102	100465
164	2116	100513
165	2130	100550
166	2140	100419
167	2154	100434
168	2168	100461
169	2181	100458
170	2194	100480
171	2208	100511
172	2213	100143
173	2226	100140
174	2238	100113
175	2251	100105
176	2265	100135
177	2278	100120
178	2292	100144
179	2305	100151
180	2318	100137
181	2321	99734
182	2334	99738
183	2348	99777
184	2359	99681
185	2373	99694
186	2386	99689
187	2397	99613
188	2404	99381
189	2419	99439
190	2432	99439
191	2444	99408
192	2457	99398
193	2462	99068
194	2472	98968
195	2484	98938
196	2499	98991
197	2512	99019
198	2525	99014
199	2538	98986
200	2551	98986
201	2565	99024
202	2577	98995
203	2590	99002
204	2604	99034
205	2617	99033
206	2630	99044
207	2643	99015
208	2656	99020
209	2669	99020
210	2682	99013
211	2695	99019
212	2700	98712
213	2712	98707
214	2726	98716
215	2738	98698
216	2744	98421
217	2750	98174
218	2764	98218
219	2769	97925
220	2781	97901
221	2795	97944
222	2808	97958
223	2822	97971
224	2834	97939
225	2848	97987
226	2861	97972
227	2873	97959
228	2886	97966
229	2898	97907
230	2912	97968
231	2920	97779
232	2932	97770
233	2946	97775
234	2959	97773
235	2971	97767
236	2984	97759
237	2988	97471
238	2995	97285
239	3009	97291
240	3022	97314
241	3035	97295
242	3047	97286
243	3061	97326
244	3073	97293
245	3086	97298
246	3100	97314
247	3114	97344
248	3127	97346
249	3130	97042
250	3143	97039
251	3155	97024
252	3168	97019
253	3182	97046
254	3196	97073
255	3209	97095
256	3213	96812
257	3226	96817
258	3239	96812
259	3251	96795
260	3256	96570
261	3269	96564
262	3282	96565
263	3295	96567
264	3300	96331
265	3312	96306
266	3325	96300
267	3338	96313
268	3347	96193
269	3360	96208
270	3372	96188
271	3385	96196
272	3399	96220
273	3413	96246
274	3417	96004
275	3424	95830
276	3436	95806
277	3440	95557
278	3452	95544
279	3466	95575
280	3480	95597
281	3493	95618
282	3507	95635
283	3520	95644
284	3523	95392
285	3536	95380
286	3549	95392
287	3562	95409
288	3575	95406
289	3588	95406
290	3602	95432
291	3614	95415
292	3627	95423
293	3642	95463
294	3654	95463
295	3667	95464
296	3681	95482
297	3688	95336
298	3702	95368
299	3715	95353
300	3720	95157
301	3732	95144
302	3739	94995
303	3752	94986
304	3760	94865
305	3772	94854
306	3786	94884
307	3799	94900
308	3813	94914
309	3825	94896
310	3829	94682
311	3844	94732
312	3857	94743
313	3867	94675
314	3881	94686
315	3895	94715
316	3909	94752
317	3913	94541
318	3926	94535
319	3938	94533
320	3945	94373
321	3952	94248
322	3966	94263
323	3979	94275
324	3993	94313
325	4007	94329
326	4020	94331
327	4032	94324
328	4045	94329
329	4059	94364
330	4066	94213
331	4079	94225
332	4092	94232
333	4105	94224
334	4111	94071
335	4122	94026
336	4135	94041
337	4146	93995
338	4159	93997
339	4171	93989
340	4185	93998
341	4199	94026
342	4206	93895
343	4219	93900
344	4231	93892
345	4244	93888
346	4249	93718
347	4256	93603
348	4269	93588
349	4282	93611
350	4293	93569
351	4304	93519
352	4317	93519
353	4329	93516
354	4343	93534
355	4350	93420
356	4355	93242
357	4359	93067
358	4372	93064
359	4384	93057
360	4396	93031
361	4407	93001
362	4415	92885
363	4427	92878
364	4431	92707
365	4443	92689
366	4456	92696
367	4469	92700
368	4482	92692
369	4496	92734
370	4509	92726
371	4521	92720
372	4535	92736
373	4548	92747
374	4561	92753
375	4574	92762
376	4581	92647
377	4592	92608
378	4604	92595
379	4617	92592
380	4630	92606
381	4643	92602
382	4656	92608
383	4667	92563
384	4679	92563
385	4694	92591
386	4706	92582
387	4719	92582
388	4723	92424
389	4736	92425
390	4749	92432
391	4755	92293
392	4768	92303
393	4773	92145
394	4786	92155
395	4800	92177
396	4807	92071
397	4819	92056
398	4832	92061
399	4838	91926
400	4852	91946
401	4856	91791
402	4860	91620
403	4873	91629
404	4886	91637
405	4900	91657
406	4913	91666
407	4926	91663
408	4939	91671
409	4952	91684
410	4965	91679
411	4978	91686
412	4992	91708
413	4998	91599
414	5012	91613
415	5018	91494
416	5031	91494
417	5044	91493
418	5057	91504
419	5070	91506
420	5083	91517
421	5096	91519
422	5109	91518
423	5115	91402
424	5128	91409
425	5135	91314
426	5149	91324
427	5153	91179
428	5166	91181
429	5178	91172
430	5192	91192
431	5205	91192
432	5217	91185
433	5230	91184
434	5235	91041
435	5249	91063
436	5259	91029
437	5272	91023
438	5286	91044
439	5296	91011
440	5310	91017
441	5322	91017
442	5336	91031
443	5342	90922
444	5348	90805
445	5353	90675
446	5365	90666
447	5378	90664
448	5392	90679
449	5406	90703
450	5419	90706
451	5432	90718
452	5444	90711
453	5457	90706
454	5460	90553
455	5473	90549
456	5487	90577
457	5492	90451
458	5505	90448
459	5517	90437
460	5531	90461
461	5542	90431
462	5553	90396
463	5565	90388
464	5578	90402
465	5586	90319
466	5598	90309
467	5611	90309
468	5624	90309
469	5637	90314
470	5650	90321
471	5662	90314
472	5675	90319
473	5686	90293
474	5691	90165
475	5703	90155
476	5710	90057
477	5722	90048
478	5735	90055
479	5748	90062
480	5762	90074
481	5774	90075
482	5789	90097
483	5801	90091
484	5811	90053
485	5824	90057
486	5836	90043
487	5843	89954
488	5856	89950
489	5869	89959
490	5882	89961
491	5895	89973
492	5909	89980
493	5919	89949
494	5933	89954
495	5946	89958
496	5958	89947
497	5970	89942
498	5984	89958
499	5997	89966
500	6011	89977
501	6016	89860
502	6028	89857
503	6042	89865
504	6054	89859
505	6067	89863
506	6081	89879
507	6094	89881
508	6107	89883
509	6120	89882
510	6130	89848
511	6144	89859
512	6157	89863
513	6170	89864
514	6184	89883
515	6197	89885
516	6210	89884
517	6222	89873
518	6234	89872
519	6242	89790
520	6254	89783
521	6267	89779
522	6274	89698
523	6287	89709
524	6300	89709
525	6312	89696
526	6325	89695
527	6338	89705
528	6350	89681
529	6363	89690
530	6376	89696
531	6382	89598
532	6396	89612
533	6406	89566
534	6419	89566
535	6432	89574
536	6445	89576
537	6457	89570
538	6470	89570
539	6484	89584
540	6497	89581
541	6509	89576
542	6514	89461
543	6527	89459
544	6539	89458
545	6552	89459
546	6565	89459
547	6580	89480
548	6592	89469
549	6597	89368
550	6609	89355
551	6623	89363
552	6636	89368
553	6649	89371
554	6662	89373
555	6675	89376
556	6689	89391
557	6702	89395
558	6707	89285
559	6717	89243
560	6729	89240
561	6742	89237
562	6755	89233
563	6768	89236
564	6781	89244
565	6794	89239
566	6806	89231
567	6819	89224
568	6833	89240
569	6846	89241
570	6858	89232
571	6871	89239
572	6885	89246
573	6899	89263
574	6905	89175
575	6919	89181
576	6932	89190
577	6937	89086
578	6944	89001
579	6956	88991
580	6968	88988
581	6982	88998
582	6992	88962
583	7005	88962
584	7018	88955
585	7030	88954
586	7044	88962
587	7057	88966
588	7071	88976
589	7084	88979
590	7098	88983
591	7110	88972
592	7122	88970
593	7128	88878
594	7141	88875
595	7153	88868
596	7166	88864
597	7173	88797
598	7184	88764
599	7196	88751
600	7208	88744
601	7221	88746
602	7234	88742
603	7246	88735
604	7260	88740
605	7273	88742
606	7286	88748
607	7299	88747
608	7311	88736
609	7325	88742
