iter	Logloss
0	0.6477407505
5	0.4728870722
10	0.3634581305
15	0.2941898056
20	0.2497433182
25	0.2208309005
30	0.2016936408
35	0.1881344816
40	0.1789541043
45	0.1726143119
50	0.1680288792
55	0.1646930631
60	0.1621248532
65	0.160022248
70	0.1584241183
75	0.1570838733
80	0.1557598114
85	0.1548194914
90	0.1542323845
95	0.1533326061
100	0.1523857148
105	0.1519750529
110	0.1518430477
115	0.1515504131
120	0.1510280614
125	0.1506209413
130	0.1503002618
135	0.1499544664
140	0.1497807502
145	0.1496796523
150	0.1493983449
155	0.149221187
160	0.1490431604
165	0.1487549809
170	0.1487161546
175	0.1486954494
180	0.1485574409
185	0.1483126543
190	0.1480960241
195	0.1480769116
200	0.1479716148
205	0.1475737169
210	0.1471607829
215	0.1470866274
220	0.1468941551
225	0.1467207506
230	0.1466893309
235	0.1465592525
240	0.1465344375
245	0.1463720706
250	0.1462647691
255	0.1461958261
260	0.1460442406
265	0.1459776365
270	0.14576349
275	0.1457555376
280	0.1457086586
285	0.1454905248
290	0.1454253798
295	0.1452781381
300	0.1452426085
305	0.145124325
310	0.1450749178
315	0.1450228819
320	0.1448804963
325	0.1448769656
330	0.1447881862
335	0.1447501952
340	0.1447084841
345	0.1445490576
350	0.1443124239
355	0.1442564342
360	0.1442499965
365	0.1442035185
370	0.1441658838
