iter	Passed	Remaining
0	14	140836
1	25	129616
2	40	135075
3	51	128954
4	73	147052
5	89	149558
6	102	146739
7	118	147774
8	128	143101
9	166	166729
10	178	162509
11	193	161134
12	208	160349
13	224	159846
14	234	156212
15	247	154332
16	286	168032
17	308	170911
18	320	168515
19	333	166291
20	350	166691
21	411	186638
22	447	193975
23	479	199242
24	491	196002
25	501	192362
26	511	189033
27	527	187744
28	546	187773
29	564	187670
30	586	188495
31	607	189084
32	619	187155
33	639	187510
34	651	185472
35	665	184175
36	685	184603
37	705	184959
38	737	188454
39	770	191957
40	780	189563
41	835	198037
42	846	195973
43	865	195908
44	885	195991
45	944	204325
46	1002	212353
47	1014	210427
48	1069	217134
49	1090	216984
50	1108	216220
51	1124	215152
52	1141	214301
53	1175	216548
54	1208	218556
55	1228	218108
56	1249	217904
57	1271	217916
58	1282	216128
59	1304	216074
60	1360	221693
61	1375	220430
62	1394	220004
63	1414	219635
64	1436	219591
65	1494	224976
66	1515	224625
67	1574	229950
68	1593	229329
69	1605	227818
70	1663	232572
71	1695	233836
72	1753	238503
73	1768	237229
74	1828	241934
75	1839	240203
76	1896	244419
77	1952	248315
78	2007	252143
79	2020	250559
80	2031	248768
81	2045	247451
82	2058	245999
83	2117	249980
84	2173	253547
85	2194	252981
86	2205	251298
87	2237	252073
88	2258	251523
89	2269	249939
90	2289	249319
91	2346	252743
92	2403	256035
93	2416	254675
94	2427	253071
95	2484	256341
96	2546	259979
97	2610	263771
98	2645	264587
99	2665	263854
100	2699	264543
101	2715	263502
102	2729	262262
103	2740	260802
104	2798	263717
105	2822	263489
106	2837	262347
107	2849	260966
108	2874	260800
109	2884	259302
110	2896	258029
111	2910	256949
112	2924	255881
113	2937	254775
114	2951	253691
115	2966	252807
116	3002	253660
117	3061	256361
118	3073	255233
119	3131	257789
120	3152	257362
121	3163	256125
122	3221	258690
123	3242	258258
124	3299	260674
125	3314	259722
126	3336	259370
127	3346	258069
128	3356	256817
129	3366	255590
130	3422	257836
131	3438	257025
132	3450	255950
133	3482	256376
134	3493	255283
135	3504	254156
136	3517	253217
137	3528	252129
138	3538	251052
139	3549	249958
140	3569	249557
141	3580	248585
142	3592	247655
143	3601	246527
144	3615	245731
145	3626	244762
146	3635	243664
147	3658	243537
148	3678	243197
149	3737	245409
150	3749	244571
151	3769	244212
152	3801	244679
153	3811	243693
154	3822	242803
155	3834	241952
156	3843	240984
157	3855	240171
158	3869	239525
159	3903	240040
160	3912	239082
161	3921	238165
162	3932	237314
163	3989	239272
164	4049	241355
165	4108	243377
166	4123	242778
167	4132	241840
168	4143	241031
169	4153	240197
170	4163	239340
171	4176	238614
172	4186	237834
173	4196	236955
174	4206	236186
175	4215	235317
176	4274	237201
177	4295	237021
178	4308	236370
179	4319	235627
180	4329	234878
181	4338	234039
182	4350	233376
183	4408	235159
184	4421	234592
185	4444	234517
186	4458	233960
187	4472	233439
188	4486	232901
189	4499	232299
190	4557	234070
191	4569	233425
192	4578	232674
193	4592	232136
194	4602	231428
195	4615	230855
196	4626	230228
197	4641	229782
198	4651	229105
199	4664	228542
200	4686	228467
201	4698	227899
202	4734	228478
203	4792	230123
204	4801	229438
205	4815	228932
206	4834	228737
207	4845	228122
208	4863	227827
209	4880	227512
210	4936	229041
211	4958	228924
212	4968	228295
213	4978	227680
214	4987	226997
215	4998	226414
216	5018	226261
217	5075	227765
218	5087	227216
219	5096	226555
220	5108	226028
221	5122	225617
222	5134	225131
223	5146	224595
224	5179	225017
225	5200	224925
226	5210	224318
227	5221	223784
228	5235	223400
229	5245	222839
230	5256	222310
231	5265	221698
232	5321	223066
233	5335	222672
234	5345	222119
235	5355	221574
236	5365	221040
237	5375	220495
238	5386	219982
239	5397	219508
240	5406	218934
241	5440	219373
242	5450	218848
